,Title,Abstract Note
27,Numerical Modeling of Flow and Bed Load Transport Using Roe Method,"In the present study, the two-dimensional finite volume model of flow and bed load transport has been developed. The governing equations consist of shallow water equations and Exner equation. The Exner equation is based on the depth-averaged shallow water equations and bed load transport flow-sediment interaction parameter that acts as a calibration factor. In addition, The Grass model is employed to calculate sediment discharge. The governing equations are solved using a fully coupled method. The Roe method is selected to compute the intercell fluxes on quadrilateral networks. The Roe approximate Riemann solver is a first-order scheme. Finally the performance of the present model is evaluated. The results of the present model are compared with the exact solutions, and other available numerical results in one-dimensional and two-dimensional tests. Results show that the present model is appropriate, and capable of modeling the mobile beds."
29,Two-Dimensional Numerical Simulation of Bed-Load Transport of a Finite-Depth Sediment Layer: Applications to Channel Flushing,"Numerical modeling of bed-load transport in shallow flows, particularly oriented toward environmental flows, is an active field of research. Nevertheless, other possible applications exist. In particular, bed-load transport phenomena are relevant in urban drainage systems, including sewers. However, few applications of coupled two-dimensional (2D) shallow-water and bed-load transport models can be found, and their transfer from environmental applications?usually river and floodplain?into sewer applications requires some adaptation. Unlike to river systems, where there is a thick layer of sediment that constitutes a movable riverbed, sewer systems have thin layers of sediment that need to be removed, thus exposing a rigid, nonerodible surface. This problem requires careful numerical treatment to avoid generating errors and instability in the simulation. This paper deals with a numerical approach to tackle this issue in an efficient way that allows large-scale studies to be performed and provides empirical evidence that the proposed approach is accurate and applicable for sewage and channel-flushing problems."
32,Numerical modelling of two-dimensional morphodynamics with applications to river bars and bifurcations,"We study the numerical approximation of the two-dimensional morphodynamic model governed by the shallow water and Exner equations to simulate reach-scale two-dimensional morphodynamics of bedload-dominated alluvial rivers. The solution strategy relies on a full coupling of the governing equations within each time step. The resulting system of governing equations contains nonconservative products related to the longitudinal and lateral bed slopes and source terms related to friction. The full problem is solved numerically on unstructured triangular grids, simultaneously updating the principal part and adding the source terms (friction) using a splitting technique. The principal part is solved by means of a novel second-order accurate upwind-biased centred scheme of the finite volume type, while the source terms are added to the problem by solving a system of ordinary differential equations. A new algorithm for treating the wetting-and-drying is also proposed. The model is applied to well-established test problems in order to verify the accuracy of the proposed method, the robustness of the wetting-and-drying algorithm and the ability of the model in dealing with transcritical flows. Finally we test the model ability to reproduce two dimensional morphodynamic processes occurring at the scale of tens of channel widths in bedload dominated alluvial rivers with homogeneous grain size. This is achieved by comparing model outcomes with those of analytical theories and flume experiments on the same morphodynamic processes. These selected “benchmarks” include migrating free bars spontaneously developing in straight reaches, steady bars forced by abrupt river planform changes and the dynamics of channel bifurcations. (C) 2012 Elsevier Ltd. All rights reserved."
34,Numerical modelling of non-cohesive embankment breach with the dual-mesh approach,"The numerical model BASEMENT, based on the two-dimensional shallow-water equations, is applied to breaching processes of non-cohesive earth embankments due to overtopping. The governing equations are solved using an explicit finite-volume method combined with a Godunov-type approach. For spatial discretization, a mass-conserving dual-mesh approach with separate, unstructured meshes for hydrodynamic and sediment computations is developed allowing for accurate terrain representation. The surface erosion is modelled with the Exner and sorting equations for multiple grain classes in combination with empirical bed-load transport formulas and advection-diffusion equations for suspended-load transport. Additionally, the lateral breach widening caused by gravitationally-induced slope failures is considered using a novel algorithm adapted for unstructured grids. The model is successfully applied to two recent laboratory experiments including plane and spatial dike breaches, and a field-scale embankment breach. Detailed comparisons between measured and simulated laboratory spatial breach formations confirm the basic model assumptions."
39,An efficient GPU implementation for a faster simulation of unsteady bed-load transport,"Computational tools may help engineers in the assessment of sediment transport during the decision-making processes. The main requirements are that the numerical results have to be accurate and simulation models must be fast. The present work is based on the 2D shallow water equations in combination with the 2D Exner equation. The resulting numerical model accuracy was already discussed in previous work. Regarding the speed of the computation, the Exner equation slows down the already costly 2D shallow water model as the number of variables to solve is increased and the numerical stability is more restrictive. In order to reduce the computational effort required for simulating realistic scenarios, the authors have exploited the use of Graphics Processing Units in combination with non-trivial optimization procedures. The gain in computing cost obtained with the graphic hardware is compared against single-core (sequential) and multi-core (parallel) CPU implementations in two unsteady cases."
41,Assessment of the performance of numerical modeling in reproducing a replenishment of sediments in a water-worked channel,"The artificial replenishment of sediment is used as a method to re-establish sediment continuity downstream of a dam. However, the impact of this technique on the hydraulics conditions, and resulting bed morphology, is yet to be understood. Several numerical tools have been developed during last years for modeling sediment transport and morphology evolution which can be used for this application. These models range from 1D to 3D approaches: the first being over simplistic for the simulation of such a complex geometry; the latter requires often a prohibitive computational effort. However, 2D models are computationally efficient and in these cases may already provide sufficiently accurate predictions of the morphology evolution caused by the sediment replenishment in a river. Here, the 2D shallow water equations in combination with the Exner equation are solved by means of a weak-coupled strategy. The classical friction approach considered for reproducing the bed channel roughness has been modified to take into account the morphological effect of replenishment which provokes a channel bed fining. Computational outcomes are compared with four sets of experimental data obtained from several replenishment configurations studied in the laboratory. The experiments differ in terms of placement volume and configuration. A set of analysis parameters is proposed for the experimental-numerical comparison, with particular attention to the spreading, covered surface and travel distance of placed replenishment grains. The numerical tool is reliable in reproducing the overall tendency shown by the experimental data. The effect of fining roughness is better reproduced with the approach herein proposed. However, it is also highlighted that the sediment clusters found in the experiment are not well numerically reproduced in the regions of the channel with a limited number of sediment grains. (C) 2016 Elsevier Ltd. All rights reserved."
42,A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds,"In order to study the morphological evolution of river beds composed of heterogeneous material, the interaction among the different grain sizes must be taken into account. In this paper, these equations are combined with the two-dimensional shallow water equations to describe the flow field. The resulting system of equations can be solved in two ways: (i) in a coupled way, solving flow and sediment equations simultaneously at a given time-step or (ii) in an uncoupled manner by first solving the flow field and using the magnitudes obtained at each time-step to update the channel morphology (bed and surface composition). The coupled strategy is preferable when dealing with strong and quick interactions between the flow field, the bed evolution and the different particle sizes present on the bed surface. A number of numerical difficulties at from solving the fully coupled system of equations. These problems are reduced by means of a weakly-coupled strategy to numerically estimate the wave celerities containing the information of the bed and the grain sizes present on the bed. Hence, a two-dimensional numerical scheme able to simulate in a self-stable way the unsteady morphological evolution of channels formed by cohesionless grain size mixtures is presented. The coupling technique is simplified without decreasing the number of waves involved in the numerical scheme but by simplifying their definitions. The numerical results are satisfactorily tested with synthetic cases and against experimental data. (C) 2015 Elsevier Ltd. All rights reserved."
52,A two-dimensional finite volume solution of dam-break hydraulics over erodible sediment beds,"Two-dimensional dam-break hydraulics over erodible sediment beds are solved using a well-balanced finite volume method. The governing equations consist of three coupled model components: (i) the shallow water equations for the hydrodynamical model, (ii) a transport equation for the dispersion of suspended sediments, and (iii) an Exner equation for the morphological model. These coupled models form a hyperbolic system of conservation laws with source terms. The proposed finite volume method consists of a predictor stage for the discretization of gradient terms and a corrector stage for the treatment of source terms. The gradient fluxes are discretized using a modified Roe's scheme using the sign of the Jacobian matrix in the coupled system. A well-balanced discretization is used for the treatment of source terms. In this paper, we also describe an adaptive procedure in the finite volume method by monitoring the concentration of suspended sediments in the computational domain during its transport process. The method uses unstructured meshes, incorporates upwinded numerical fluxes and slope limiters to provide sharp resolution of steep sediment concentration and bed-load gradients that may form in the approximate solution. © Springer-Verlag Berlin Heidelberg 2011."
60,Numerical modeling of sediment transport applied to coastal morphodynamics,"A bed-load sediment transport model is used to describe realistic cases of the morphodynamics in coastal areas. The hydrodynamic equations are based on the well-known, two-dimensional depth-averaged non-linear shallow water equations, with bathymetry forces and friction, which are subsequently coupled to the Exner equation to describe the morphological evolution. Different forms of the bed-load transport flux are considered in the Exner equation and certain relations between them are established. The numerical model is expressed in a fully-coupled form where a single system of equations is solved by a high resolution two-dimensional finite volume scheme of the relaxation type. The relaxation is performed by classical models where neither approximate Riemann solvers nor characteristic decompositions are needed. The overall numerical scheme is validated in benchmark problems, and for a realistic application of a coastal area on the northern side of the island of Crete. The validity of these results is established by comparisons made with the well-known MIKE Software by DHI Group. (C) 2014 IMACS. Published by Elsevier B.V. All rights reserved."
69,A 2D HLL-based weakly coupled model for transient flows on mobile beds,"We propose a finite-volume model that aims at improving the ability of 2D numerical models to accurately predict the morphological evolution of sandy beds when subjected to transient flows like dam-breaks. This model solves shallow water and Exner equations with a weakly coupled approach while the fluxes at the interfaces of the cells are calculated thanks to a lateralized HLLC flux scheme. Besides describing the model, we ran it for four different test cases: a steady flow on an inclined bed leading to aggradation or degradation, a dam-break leading to high interaction between the flow and the bed, a dam-break with a symmetrical enlargement close to the gate and a dam-break in a channel with a 90 degrees bend. The gathered results are discussed and compared to an existing fully coupled approach based on HLLC fluxes. Although both models equally perform regarding water levels, the weakly coupled model looks to better predict the bed evolution for the four test cases. In particular, its results are not affected by an excessive numerical diffusion encountered by the coupled model. Moreover, it usually better estimates the amplitudes of the maximum deposits and scours. It is also more stable when subject to high bed-flow interaction."
73,A Predictor-corrector scheme for simulation of two-phase granular flows over a moved bed with a variable topography,"In this paper, we propose a numerical simulation of two-phase shallow granular flows through a moved bed with a variable irregular topography via a predictor corrector scheme. This method consists of predictor and corrector stages. The predictor stage contains a parameter to control the numerical diffusion that is performed by utilizing limiters and Riemann invariant theory. The corrector stage recovers the balance conservation equation. In the first part, we solve numerically the one-dimensional equation for two-phase shallow granular flows over a fixed bed with irregular topography. In the second part, we consider the model equations for the bed-load sediment transport, the governing model equations consist of two components, specifically, a geophysical flows part and interstitial fluid. The sediment part is described by the Exner equation when the velocity can be considered to be the solid velocity, fluid velocity or a mean value of both of them.(c) 2022 Elsevier Masson SAS. All rights reserved."
80,"An Unstructured-Grid Based Morphodynamic Model for Sandbar Simulation in the Modaomen Estuary, China","The Modaomen Estuary is the most important passageway in discharging flood and sediment of the Pearl River Delta, which is one of the most complex estuarine systems in China. Due to the coupling effect among tidal currents, waves, and sediments, an immense sandbar area evolved in the outer subaqueous delta, impeding the flood releasing during wet season, as well as salinity intrusion during the dry season. In this work, an unstructured-grid based morphodynamic model was proposed to simulate the sandbar evolution process in the Modaomen Estuary. The proposed model was constructed by using the two-dimensional shallow water equations for tidal flow, the advection-diffusion equations for salinity and suspended sediment transport, and the non-equilibrium formulation of the Exner equation for bed evolution. To simulate the wave-induced longshore currents in the Modaomen Estuary, an adaptive time-stepping approach was proposed to couple the unstructured-grid based Simulating WAves Nearshore (SWAN) model and the shallow flow model. An integrated solver is proposed for computing flow, salinity, and sediment transport fluxes simultaneously, and then the shallow water equations and advection-diffusion equations are jointly solved by a high-resolution, unstructured-grid Godunov method. Application of the model to the Modaomen Estuary, using calibrated parameter values, gives results comparable to the measured data. The butterfly shape of the sandbar in the Modaomen Estuary is considerably well simulated by the proposed model, which matches well with the measured topography."
82,Decoupled solution of the sediment transport and 2D shallow water equations using the finite volume method,"In this paper was successfully implemented a numerical solution of the sediment transport and 2D shallow water equations using the decoupled approach. Different discharge formulas to approximate the solid discharge of the sediment were used. The flow field was calculated by solving the shallow water equations and was discretized using the finite volume method; the Godunov's method along with the Roe's Riemann solver was used to approximate the numerical fluxes. The sediment transport was modeled with the Exner equation which was discretized using the Roe's scheme and the finite volume method. In addition, it was proposed an algorithm to guarantee the mass balance in the whole domain for water and sediment at all time steps. The results were compared with experimental measurements reported by other authors to validate the implemented solution."
86,A Semi-Coupled Model for Morphological Flow Simulation in River Bend,This paper presents a new efficient and robust numerical model for morphological flow simulation in river bends. The hydrodynamic model is developed by solving the two dimensional (2D) shallow water equations using a total variation diminishing (TVD) MacCormack predictor corrector scheme. The present TVD method is very simple and provides accurate results free from numerical oscillations near sharp gradient. The effective stresses are modeled by using a constant eddy viscosity model. The sediment transport model solves the Exner equation using a simple forward time and central space (FTCS) finite difference algorithm. The sediment transport model incorporates the helical flow and the transverse bed slope effects on the sediment direction computation. These models are coupled using the semicoupled approach. The present semicoupled model is used to replicate two popular experimental test cases of both tight and loose channel bends. The obtained results in terms of bed level variation reveal that the model can accurately simulate several features of the bed changes such as oscillations of the transverse bed profile with the formation of point bars and pools along the banks. The values obtained for three widely used statistical parameters show the applicability of the present model for this type of complex scenarios.
98,A SECOND-ORDER WELL-BALANCED LAGRANGE-PROJECTION NUMERICAL SCHEME FOR SHALLOW WATER EXNER EQUATIONS IN 1D AND 2D,"The present work is devoted to the numerical approximation of the shallow water Exner system in both one and two dimensions, where the Exner equation expresses the evolution in time of the bed sediment. Both the Grass and the Meyer-Peter & Mu & BULL;ller formulas are taken into account to model the solid transport discharge contributions. The numerical scheme is based on the Lagrange-projection formalism which consists in splitting the mathematical model into the acoustic and transport systems. This work is considered as a first step to understand how to include the Exner equation in this framework and, for this reason, the Exner equation is taken into account only at the transport level; both a decoupled and weakly coupled formulations are proposed. New strategies to include the Exner equation at the acoustic level or in both steps will be treated in the next work. The methods are designed in such a way to satisfy the well-balanced property as well. Details to reach the second-order of accuracy are given; numerical results are shown to validate the numerical schemes."
100,A fully-coupled bedload sediment transport model based on a two-dimensional modified wave propagation algorithm,"In this paper, an extension of a second-order Godunov-type wave propagation algorithm is presented for modelling two-dimensional morphodynamic problems using a coupled approach. In this solution, the two-dimensional shallow water equations (SWEs) and bedload sediment mass balance laws are expressed in a coupled form. The proposed numerical solver treats the source term including the bedload variations as well as the friction terms within the flux-differencing of the finite-volume neighbouring cells. In order to solve the morphodynamic system in two-dimensions, the dimensional-splitting method is utilized. To consider the bedload sediment discharge within the Exner equation, the Smart and Meyer-Peter & Muller formulae are adopted. To verify the capability of the extended wave propagation solver in dealing with different flow regimes several numerical test cases are investigated. The numerical results show that for all examined cases, excellent agreement is achieved between the numerical results and the exact solutions and experimental data, confirming the effectiveness of the method."
126,A Block-Structured Adaptive Mesh Refinement Solver for Morphodynamic Modeling,"An adaptive solver for two-dimensional horizontal morphodynamic modeling studies is presented. The method employs an established augmented Riemann solver to compute unsteady, two-dimensional flows over arbitrary topography. An Exner equation is used to model the evolution of the bed using several common load formulas. The morphodynamic coupling is stabilized using an upwind approach. The scheme is implemented in a highly scalable block-structured adaptive mesh refinement framework. The resulting solver is well balanced and resolves the dry state while maintaining nonnegative depth. Idealized tests include comparison with exact Riemann solutions for dam break problems and an analytical solution for the migration of a one-dimensional sinusoidal bedform. Practical tests include the migration of a Gaussian perturbation and the evolution of flood and ebb shoals in a tidal inlet. The solver is benchmarked on a modern multiprocessor machine to quantify the scalability of the approach."
128,Numerical discretization of the Exner equation in unsteady floods,"Two dimensional transient flow over erodible bed is solved using the 2D shallow-water equations including the Exner equation to describe morphological evolution. The numerical scheme uses a finite-volume technique and an augmented Roe solver that provides a set of four waves derived from an approximate Jacobian matrix constructed by fully coupling all the equations. The numerical scheme allows to include different closure equations needed to evaluate the rate of sediment transport. The generalized scheme was validated in previous work with exact solutions and experimental data. In this work the relative performance of Meyer-Peter and Muller, Ashida and Michue, Engelund and Fredsoe, Fernandez Luque and Van Beek, Parker, Smart, Nielsen, Wong and Camenen and Larson formulations is compared."
130,On the formation and migration of free bars in finite tidal channels,"This contribution investigates the formation and migration of free bars in tidal channels of finite length. We employ a 2-D numerical model based on the solution of the classical shallow water equations for the fluid phase coupled with the Exner equation and some semi empirical closure for the sediment transport rates. The model is applied to the case of a straight rectangular channel closed at the landward end and characterized by an initial plane bed, perturbed by randomly distributed disturbances of small amplitude. Numerical simulations have been performed for fixed values of the aspect ratio relatively close to the critical conditions of the linear theory. Preliminary results of our analysis show that bottom instability originates in the seaward part of the channel, giving rise to the formation of free alternate bars, with amplitudes decaying landward and wavelengths shorter than those predicted by the linear theory. Moreover, such features grow and migrate landward in time."
135,Optimal Control of Sediment in Irrigation Canals,"In this work a 2D mathematical model for simulating the sedimentation of suspended particles in canals is proposed. This model is obtained by coupling the shallow water equations for hydrodynamics with the Exner equations for sediment transport. Looking to avoid the suspended particles settling and their unwanted effects, the model is used to formulate the problem of the management of an irrigation canal, as an optimal control problem (OCP) of partial differential equations. The OCP is solved by interfacing MIKE21 package for modelling stage, with the authors' own MATLAB code for optimizing purpose. Finally, some numerical results are presented for a realistic case."
140,An unstructured finite-volume method for coupled models of suspended sediment and bed load transport in shallow-water flows,"The aim of this work is to develop a well-balanced finite-volume method for the accurate numerical solution of the equations governing suspended sediment and bed load transport in two-dimensional shallow-water flows. The modelling system consists of three coupled model components: (i) the shallow-water equations for the hydrodynamical model; (ii) a transport equation for the dispersion of suspended sediments; and (iii) an Exner equation for the morphodynamics. These coupled models form a hyperbolic system of conservation laws with source terms. The proposed finite-volume method consists of a predictor stage for the discretization of gradient terms and a corrector stage for the treatment of source terms. The gradient fluxes are discretized using a modified Roe's scheme using the sign of the Jacobian matrix in the coupled system. A well-balanced discretization is used for the treatment of source terms. In this paper, we also employ an adaptive procedure in the finite-volume method by monitoring the concentration of suspended sediments in the computational domain during its transport process. The method uses unstructured meshes and incorporates upwinded numerical fluxes and slope limiters to provide sharp resolution of steep sediment concentrations and bed load gradients that may form in the approximate solutions. Details are given on the implementation of the method, and numerical results are presented for two idealized test cases, which demonstrate the accuracy and robustness of the method and its applicability in predicting dam-break flows over erodible sediment beds. The method is also applied to a sediment transport problem in the Nador lagoon. © 2013 John Wiley & Sons, Ltd."
141,Finite volumes for 2D shallow-water flow with bed-load transport on unstructured grids,"In this work, two-dimensional (2D) bed-load transport simulations based on the depth-averaged shallow-water equations and the Exner equation are presented. The Exner equation is written assuming that bed-load transport is governed by a power law of the depth-averaged flow velocity and by a flow/sediment interaction parameter acting as a calibration coefficient. Uncoupled and coupled numerical resolutions of the global problem are considered. A Roe-type first-order upwind scheme has been applied as approximate Riemann solver for the discretization on 2D unstructured meshes. The uncoupled resolution is presented as a simple extension of a previous 2D shallow-water model. The details of the new implementation in the coupled system problem are provided. The models are tested comparing with exact solutions of 2D cases as well as experimental laboratory data. Copyright © 2012 International Association for Hydro-Environment Engineering and Research."
142,Implicit time advancing combined with two finite-volume methods in the simulation of morphodynamic flows,"Numerical simulation of morphodynamic problems is considered. The physical model is based on the shallow-water equations coupled with the Exner equation closed by the Grass model to describe the time evolution of the bed profile. The SRNH predictor-corrector scheme and a modified Roe scheme for non-conservative systems of equations are considered for space discretization. Second-order accuracy in space is achieved through variable reconstruction. These schemes were previously used in the simulation of the considered problems together with explicit time advancing. Linearized implicit time-advancing versions are generated here, in which the flux Jacobians are computed through automatic differentiation. Second-order accuracy in time is obtained through a backward differentiation formula associated with a defect-correction approach. For both the considered numerical methods, the explicit and implicit versions are compared in terms of accuracy and efficiency for one-dimensional and two-dimensional morphodynamic problems characterized by different time scales for the evolution of the bed and of the water flow. © 2013 IMACS. Published by Elsevier B.V. All rights reserved."
